time (hr),demand (kW),solar capacity factor (kW),wind capacity factor (kW),dispatch solar (kW per unit deployed),dispatch wind (kW per unit deployed),dispatch natgas (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW),dispatch unmet demand (kW),price ($/kWh)
0.0,1.0387032264811307,0.00233589,0.489697811,0.00027478777766797697,0.2943447516697467,0.1050393434531051,0.6390443435806108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
1.0,1.042828507922239,0.0,0.497820685,0.0,0.29922720218650967,0.10455696215511853,0.6390443435806108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
2.0,1.0149995439386235,0.0,0.503230723,0.0,0.3024790367993336,0.07347616355867896,0.6390443435806108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
3.0,0.9965781807332512,0.0,0.509290041,0.0,0.30612113691073883,0.05141270024190161,0.6390443435806108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
4.0,0.9745299515651223,0.0,0.507399098,0.0,0.30498453973743306,0.030501068247078367,0.6390443435806108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
5.0,0.9327342160261554,0.0,0.493710266,0.0,0.29675653510849487,0.0,0.6359776809176605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390804885
6.0,0.9095512012868037,0.0,0.469856928,0.0,0.28241890750961524,0.0,0.6271322937771885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390804885
7.0,0.886096726983435,0.0,0.445695679,0.0,0.26789620253281904,0.0,0.618200524450616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390804885
8.0,0.8645980904409468,0.0,0.422016964,0.0,0.2536635363252633,0.0,0.6109345541156834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390804885
9.0,0.8545007175900339,0.0,0.402636474,0.0,0.24201442254907776,0.0,0.6124862950409562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390804885
10.0,0.8507692735001141,0.0,0.39048308,0.0,0.23470933018697487,0.0,0.6160599433131393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390804885
11.0,0.8588841076002471,0.0,0.383414637,0.0,0.2304606710082089,0.0,0.6284234365920384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390804885
12.0,0.8701652183371611,0.001713511,0.370354595,0.0002015727965356386,0.22261061586616854,0.008308686093846069,0.6390443435806108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
13.0,0.8873338658493106,0.022835818,0.353402923,0.002686343825886658,0.21242140208341181,0.033181776359401366,0.6390443435806108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
14.0,0.9071214232050357,0.07177203,0.351978638,0.008443067362940624,0.21156530102432022,0.04806871123716406,0.6390443435806108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
