case name,fixed cost natgas ($/kW/h),fixed cost solar ($/kW/h),fixed cost wind ($/kW/h),fixed cost nuclear ($/kW/h),fixed cost storage (($/h)/kWh),fixed cost pgp storage (($/h)/kWh),var cost natgas ($/kWh),var cost solar ($/kWh),var cost wind ($/kWh),var cost nuclear ($/kWh),var cost to storage ($/kWh),var cost storage ($/kWh),var cost to pgp storage ($/kWh),var cost pgp storage ($/kWh),var cost unmet demand ($/kWh),storage charging efficiency,storage charging time (h),storage decay rate (1/h),pgp storage charging efficiency,pgp storage decay rate (1/h),mean demand (kW),capacity factor solar series (kW),capacity factor wind series (kW),capacity natgas (kW),capacity solar (kW),capacity wind (kW),capacity nuclear (kW),capacity storage (kWh),capacity pgp storage (kWh),capacity to pgp storage (kW),capacity from pgp storage (kW),system cost ($/kW/h),problem status,dispatch natgas (kW),dispatch solar (kW),dispatch wind (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW),dispatch unmet demand (kW)
renew095nuc095,-1.0,0.018552265,0.01961617,0.0685940660195,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,1.0450054999999999e-08,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.2118809029348276,0.7260867027982947,1.3963841000698969,0.0,0.0,0.0,0.0,0.11395758429248863,optimal,0.0,0.04138599887049298,0.2600491588677703,0.6985648422617368,0.0,0.0,0.0,0.0,0.0,0.0,6.385451869268776e-23,6.625703028294085e-05,0.6978192578081603,0.0
renew095nuc090,-1.0,0.018552265,0.01961617,0.06498387101950001,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,9.900055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.2118809029348277,0.7260867027982956,1.3963841000698967,0.0,0.0,0.0,0.0,0.10891636499268023,optimal,0.0,0.041385998870493004,0.0005665357150045253,0.9580474654145024,0.0,0.0,0.0,0.0,0.0,0.0,6.38545186926878e-23,0.259548880183049,0.4383366346553943,0.0
renew095nuc085,-1.0,0.018552265,0.01961617,0.0613736760195,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,9.350054999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.11763729356604094,0.6010742646953486,1.4623023036054066,0.0,0.0,0.0,0.0,0.10372009037735304,optimal,0.0,0.0003747131883929377,0.00029853046196021545,0.9993267563496467,0.0,0.0,0.0,0.0,0.0,0.0,0.022602991886563877,0.21503206538050415,0.4629755472557597,0.0
renew095nuc080,-1.0,0.018552265,0.01961617,0.0577634810195,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,8.800054999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.11763729356604094,0.6010742646953486,1.4623023036054066,0.0,0.0,0.0,0.0,0.09844089336276016,optimal,0.0,0.0003747131883929377,0.00029853046196021545,0.9993267563496467,0.0,0.0,0.0,0.0,0.0,0.0,0.022602991886563877,0.21503206538050415,0.4629755472557597,0.0
renew095nuc075,-1.0,0.018552265,0.01961617,0.0541532860195,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,8.250055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.11763729356604095,0.6010742646953486,1.4623023036054066,0.0,0.0,0.0,0.0,0.09316169634816455,optimal,0.0,0.0003747131883929377,0.0002985304619602154,0.9993267563496467,0.0,0.0,0.0,0.0,0.0,0.0,0.02260299188656388,0.21503206538050415,0.4629755472557597,0.0
renew095nuc070,-1.0,0.018552265,0.01961617,0.0505430910195,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,7.700054999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.11763729356604073,0.6010742646953489,1.4623023036054066,0.0,0.0,0.0,0.0,0.08788249933357055,optimal,0.0,0.0003747131883929373,0.00029853046196021577,0.9993267563496467,0.0,0.0,0.0,0.0,0.0,0.0,0.022602991886563836,0.21503206538050423,0.4629755472557597,0.0
renew095nuc065,-1.0,0.018552265,0.01961617,0.04693289601950001,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,7.1500550000000005e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.12898020731604048,0.0,1.6980276256134323,0.0,0.0,0.0,0.0,0.08208623612712436,optimal,0.0,1.4187793684263489e-05,0.0,0.9999858122063158,0.0,0.0,0.0,0.0,0.0,0.0,0.02517909126242542,0.0,0.6980418134071167,0.0
renew095nuc060,-1.0,0.018552265,0.01961617,0.043322701019500004,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,6.600055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.12898020731604048,0.0,1.6980276256134323,0.0,0.0,0.0,0.0,0.07595602473328177,optimal,0.0,1.4187793684263485e-05,0.0,0.9999858122063158,0.0,0.0,0.0,0.0,0.0,0.0,0.02517909126242542,0.0,0.6980418134071167,0.0
renew095nuc055,-1.0,0.018552265,0.01961617,0.0397125060195,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,6.050054999999999e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.12898020731604048,0.0,1.6980276256134323,0.0,0.0,0.0,0.0,0.06982581333943666,optimal,0.0,1.4187793684263489e-05,0.0,0.9999858122063158,0.0,0.0,0.0,0.0,0.0,0.0,0.02517909126242542,0.0,0.6980418134071167,0.0
renew095nuc050,-1.0,0.018552265,0.01961617,0.036102311019500004,-1.0,-1.0,0.029679,9.499999999999999e-09,9.975e-09,5.500055e-09,0.0,0.0,0.0,0.0,-1.0,0.9,6.0,1e-05,0.3,1.13514e-06,1.0,0.19532670616956396,0.35824291354680365,0.0,0.0,0.0,1.7597263805114445,0.0,0.0,0.0,0.0,0.06353019459849811,optimal,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7597263805114446,0.0
