time (hr),demand (kW),solar capacity factor (kW),wind capacity factor (kW),dispatch solar (kW per unit deployed),dispatch wind (kW per unit deployed),dispatch natgas (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW),dispatch unmet demand (kW),price ($/kWh)
0.0,1.0387032264811307,0.00233589,0.489697811,0.001892195976374826,0.904132346622724,0.0,0.13267868388203174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
1.0,1.042828507922239,0.0,0.497820685,0.0,0.919129663265703,0.0,0.12369884465653601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
2.0,1.0149995439386235,0.0,0.503230723,0.0,0.9291182526414031,0.0,0.08588129129722033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
3.0,0.9965781807332512,0.0,0.509290041,0.0,0.9403056120275638,0.0,0.05627256870568738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
4.0,0.9745299515651223,0.0,0.507399098,0.0,0.9368143513081654,0.0,0.03771560025695691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
5.0,0.9327342160261554,0.0,0.493710266,0.0,0.9115405691497145,0.0,0.021193646876440916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
6.0,0.9095512012868037,0.0,0.469856928,0.0,0.8674999915194318,0.0,0.04205120976737195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
7.0,0.886096726983435,0.0,0.445695679,0.0,0.8228909157486072,0.0,0.06320581123482788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
8.0,0.8645980904409468,0.0,0.422016964,0.0,0.7791727457321994,0.0,0.08542534470874731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
9.0,0.8545007175900339,0.0,0.402636474,0.0,0.743390417306806,0.0,0.11111030028322791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
10.0,0.8507692735001141,0.0,0.39048308,0.0,0.7209515246064044,0.0,0.12981774889370973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
11.0,0.8588841076002471,0.0,0.383414637,0.0,0.7079010109773799,0.0,0.1509830966228673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
12.0,0.8701652183371611,0.001713511,0.370354595,0.0013880356607862544,0.6837881680052244,0.0,0.1849890146711505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
13.0,0.8873338658493106,0.022835818,0.353402923,0.018498235335066216,0.6524901825124144,0.0,0.2163454480018301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
14.0,0.9071214232050357,0.07177203,0.351978638,0.05813918736852047,0.6498605155823544,0.0,0.1991217202541609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
15.0,0.9358070396982502,0.156272327,0.35474052,0.12658895254833533,0.654959796807761,0.0,0.15425829034215394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
16.0,0.9612262510925412,0.254172169,0.355558635,0.2058930666633541,0.6564702880089506,0.0,0.09886289642023657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
17.0,0.9760051735076591,0.326898601,0.364141626,0.2648053707557974,0.6723171217491808,0.0,0.03888268100268103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
18.0,0.9804174893402825,0.355445266,0.364137457,0.28792969795096496,0.6723094244965724,0.0,0.020178366892745117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
19.0,0.9750261422109637,0.337477858,0.344982956,0.27337513539729813,0.6369443410747122,0.0,0.06470666573895337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
20.0,0.9625279181006176,0.277657425,0.306721484,0.2249173815528963,0.5663019291881709,0.0,0.17130860735955028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
21.0,0.9547334938794306,0.188480083,0.265579304,0.15267895948841476,0.4903408468369686,0.0,0.3117136875540472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
22.0,0.9590301064224136,0.098816494,0.246162472,0.08004665131759933,0.4544914199336917,0.0,0.4244920351711225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
23.0,0.9907974459177648,0.032117527,0.237900573,0.02601691661872341,0.43923742050254067,0.0,0.5255431087965007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
24.0,1.0242981159247575,0.002538671,0.229780602,0.00205645944438285,0.424245463687895,0.0,0.5979961927924796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
25.0,1.0374215849654975,0.0,0.220649176,0.0,0.40738605073578826,0.0,0.6300355342297093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
26.0,1.0358128590733873,0.0,0.211841671,0.0,0.39112469529439875,0.0,0.6446881637789885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
27.0,1.0288239102145107,0.0,0.207879237,0.0,0.3838088268745628,0.0,0.645015083339948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
28.0,1.0030397872914412,0.0,0.203906823,0.0,0.37647453231391803,0.0,0.6265652549775232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
29.0,0.9681773737990412,0.0,0.201541219,0.0,0.37210690181270656,0.0,0.5960704719863347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
30.0,0.9301553591673162,0.0,0.201282033,0.0,0.37162836496584334,0.0,0.5585269942014729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
31.0,0.9052857393987411,0.0,0.200577512,0.0,0.37032760312728374,0.0,0.5349581362714574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
32.0,0.8833954903375748,0.0,0.198750371,0.0,0.3669541404675934,0.0,0.5164413498699815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
33.0,0.8748245165764875,0.0,0.194935883,0.0,0.3599114257379492,0.0,0.5149130908385383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
34.0,0.8725949954190043,0.0,0.18841669,0.0,0.347874996060757,0.0,0.5247199993582472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
35.0,0.8826723427774739,0.0,0.182074203,0.0,0.336164819854284,0.0,0.5465075229231898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
36.0,0.9052746142362642,0.001415965,0.177347563,0.0011470074685398625,0.3274379927808405,0.0,0.5766896139868838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
37.0,0.9359138426579239,0.017568687,0.170622935,0.014231577193955498,0.31502226708790926,0.0,0.6066599983760591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
38.0,0.9678614135851162,0.062129364,0.169864624,0.05032811158724381,0.3136221924122644,0.0,0.603911109585608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
39.0,0.9907507194354216,0.14318285,0.164084492,0.11598577529587446,0.30295029600685225,0.0,0.5718146481326948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
40.0,1.0022565622540849,0.234548752,0.147893711,0.18999704814787377,0.27305714866095854,0.0,0.5392023654452525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
41.0,0.9992037640744335,0.296758301,0.14401171,0.2403901138786627,0.2658897842274635,0.0,0.49292386596830723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
42.0,0.9871639044575523,0.320494619,0.156967557,0.2596178024314427,0.2898102512736088,0.0,0.43773585075250077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
43.0,0.969151954430791,0.304419603,0.172000664,0.24659617872683295,0.31756597736351055,0.0,0.40498979834044746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
44.0,0.9508373941850924,0.251614996,0.17535338,0.20382161960827258,0.32375611935832455,0.0,0.4232596552184953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
45.0,0.9368394729747449,0.172985408,0.166654961,0.14012744306844827,0.30769617012898703,0.0,0.48901585977730955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
46.0,0.9431653497509264,0.091169057,0.179700033,0.0738518178618373,0.33178137388992934,0.0,0.5375321579991598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
47.0,0.9829852210366447,0.029465672,0.215774883,0.02386877207384781,0.3983866109400145,0.0,0.5607298380227824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
48.0,1.0274532663991371,0.002473826,0.243586308,0.002003931522225546,0.44973503109493296,0.0,0.5757143037819785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
49.0,1.0446797665560315,0.0,0.257673726,0.0,0.4757447252534294,0.0,0.5689350413026021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
50.0,1.0473298260546027,0.0,0.263541403,0.0,0.4865782565783922,0.0,0.5607515694762104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
51.0,1.0399537163419181,0.0,0.272605825,0.0,0.5033139595967556,0.0,0.5366397567451625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
52.0,1.0156559395239382,0.0,0.285219308,0.0,0.526602317697821,0.0,0.4890536218261172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
53.0,0.9833123064130467,0.0,0.297550629,0.0,0.5493697182094154,0.0,0.43394258820363124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
54.0,0.951237907033737,0.0,0.310868656,0.0,0.5739588806140945,0.0,0.37727902641964256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
55.0,0.921653362213526,0.0,0.323241607,0.0,0.5968031428733716,0.0,0.3248502193401544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
56.0,0.9009401755409047,0.0,0.330241406,0.0,0.6097269186256741,0.0,0.2912132569152306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
57.0,0.8897480681036559,0.0,0.32827468,0.0,0.6060957392460629,0.0,0.283652328857593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
58.0,0.8864861146696028,0.0,0.330211947,0.0,0.6096725282767673,0.0,0.27681358639283543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
59.0,0.89241370342965,0.0,0.341347121,0.0,0.6302314745749209,0.0,0.26218222885472914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
60.0,0.9104901805986874,0.001272851,0.357111944,0.0010310774654305954,0.6593381728139333,0.0,0.2501209303193236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
61.0,0.936029546947489,0.014252582,0.37769866,0.011545354581488112,0.6973475643779392,0.0,0.22713662798806164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
62.0,0.9643836273993557,0.052395652,0.39792228,0.042443283670864466,0.7346865693664795,0.0,0.1872537743620117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
63.0,0.979892372872031,0.128039497,0.424293976,0.1037188485076166,0.7833768082307515,0.0,0.09279671613366296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004396548849999999
64.0,0.9790334955299214,0.219209187,0.472447659,0.17757117913334822,0.8014623163965733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07082095911123279,0.0,0.0,2.625e-09
65.0,0.9688515700442887,0.284974142,0.527448059,0.23084431410009384,0.7380072559441948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23582362627159484,0.0,0.0,2.625e-09
66.0,0.9593015649865059,0.314785893,0.569779834,0.2549934286949113,0.7043081362915945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34768018548737734,0.0,0.0,2.625e-09
67.0,0.9512557076936701,0.306460247,0.602365716,0.24824920963411604,0.703006498059554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40914535579498024,0.0,0.0,2.625e-09
68.0,0.9406554696993844,0.261762084,0.624470718,0.21204130421907244,0.728614165480312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42435030154385717,0.0,0.0,2.625e-09
69.0,0.9327275415286239,0.188926791,0.61776638,0.15304081688761356,0.7796867246410104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3608994782530543,0.0,0.0,2.625e-09
70.0,0.9456596539750458,0.103850898,0.572901651,0.08412478812722878,0.861534865847817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19621728755656664,0.0,0.0,2.625e-09
71.0,0.9893155484777718,0.032824888,0.550211148,0.026589916904714822,0.962725631573057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05313289424588513,0.0,0.0,2.625e-09
72.0,1.0341930070188754,0.002419713,0.562043837,0.0019600970947184406,1.032232909924157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0054723888067982175,0.0,0.0,2.625e-09
73.0,1.0572981446209633,0.0,0.574594873,0.0,1.0572981446209633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035802158969196777,0.0,0.0,2.625e-09
74.0,1.0624514096735456,0.0,0.585923217,0.0,1.0624514096735456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019342548206624757,0.0,0.0,2.625e-09
75.0,1.0458212286246351,0.0,0.604489555,0.0,1.0458212286246351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07025188339316833,0.0,0.0,2.625e-09
76.0,1.0080817977194794,0.0,0.615647488,0.0,1.0080817977194794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12859228069053283,0.0,0.0,2.625e-09
77.0,0.9630730600613127,0.0,0.622879539,0.0,0.9630730600613127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18695360252336168,0.0,0.0,2.625e-09
78.0,0.9386640306186377,0.0,0.626641967,0.0,0.9386640306186377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2183092279691765,0.0,0.0,2.625e-09
79.0,0.914141522718833,0.0,0.630656887,0.0,0.914141522718833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2502445095419729,0.0,0.0,2.625e-09
80.0,0.900092423361272,0.0,0.62957607,0.0,0.900092423361272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26229808923714415,0.0,0.0,2.625e-09
81.0,0.8976648711119394,0.0,0.618736242,0.0,1.0908336667829193,0.0,0.0,0.19316879567097983,0.0,0.0,0.0,0.0,0.0,0.0,0.05154319881427173,0.0,0.0,2.625e-09
82.0,0.9086811977822924,0.0,0.611579381,0.0,1.1291631052228719,0.0,0.0,0.22048190744057947,0.0,0.17385191610388184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625035757449577e-09
83.0,0.9438506711586508,0.0,0.606348949,0.0,1.1195061236073045,0.0,0.0,0.17565545244865358,0.0,0.37228326464175776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6250715153862377e-09
84.0,1.0193540081264267,0.000950061,0.595290687,0.0007696002814818521,1.0990891804496212,0.0,0.0,0.08050477260467627,0.0,0.5303681007145999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6251072738099896e-09
85.0,1.0907498633131025,0.012682659,0.57384523,0.010273632889191689,1.059494289628664,0.0,0.0,0.0,0.020981940795246828,0.6028151715436512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.916825591912042e-09
86.0,1.1203210581383263,0.061593389,0.578759288,0.04989394313819977,1.0685671478101357,0.0,0.0,0.0,0.0018599671899907227,0.5818250193809821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9168653245764337e-09
87.0,1.1254854473534608,0.153015297,0.615080004,0.12395058384906778,1.1356263289019162,0.0,0.0,0.1340914653975233,0.0,0.5799571267451249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6252145520038534e-09
88.0,1.1241926816752754,0.244685667,0.597628653,0.19820849208395536,1.1034057827264163,0.0,0.0,0.1774215931350962,0.0,0.7006315456009025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6252503123760334e-09
89.0,1.1125021577597503,0.30948573,0.602385433,0.250700012865086,1.1121882574836255,0.0,0.0,0.2503861125889612,0.0,0.8603014356297642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625286073235337e-09
90.0,1.0982906296301305,0.337022519,0.626576773,0.27300628642594826,1.1568528904691875,0.0,0.0,0.33156854726500523,0.0,1.0856372181917637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625321834581771e-09
91.0,1.0859125584744456,0.32573666,0.647302348,0.2638641363290971,1.1951186583344542,0.0,0.0,0.37307023618910573,0.0,1.3840341225057735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625357596415342e-09
92.0,1.0758196362884782,0.275944671,0.653644392,0.22352995910264395,1.2068280166270617,0.0,0.0,0.35453833944122753,0.0,1.7197784821783622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.625393358736057e-09
