time (hr),demand (kW),solar capacity factor (kW),wind capacity factor (kW),dispatch solar (kW per unit deployed),dispatch wind (kW per unit deployed),dispatch natgas (kW),dispatch nuclear (kW),dispatch to storage (kW),dispatch from storage (kW),energy storage (kWh),dispatch to pgp storage (kW),dispatch pgp storage (kW),energy pgp storage (kWh),curtailment solar (kW),curtailment wind (kW),curtailment nuclear (kW),dispatch unmet demand (kW),price ($/kWh)
0.0,1.0387032264811307,0.00233589,0.489697811,0.0005135004775884137,0.6461073650550768,0.3920823609484654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
1.0,1.042828507922239,0.0,0.497820685,0.0,0.656824686225243,0.386003821696996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
2.0,1.0149995439386235,0.0,0.503230723,0.0,0.6639626911713747,0.35103685276724866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
3.0,0.9965781807332512,0.0,0.509290041,0.0,0.6719573562465894,0.32462082448666185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
4.0,0.9745299515651223,0.0,0.507399098,0.0,0.6694624457696478,0.3050675057954746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
5.0,0.9327342160261554,0.0,0.493710266,0.0,0.6514013987820358,0.2813328172441195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
6.0,0.9095512012868037,0.0,0.469856928,0.0,0.6199293010581844,0.2896219002286193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
7.0,0.886096726983435,0.0,0.445695679,0.0,0.5880509455148929,0.2980457814685421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
8.0,0.8645980904409468,0.0,0.422016964,0.0,0.5568092454033519,0.30778884503759496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
9.0,0.8545007175900339,0.0,0.402636474,0.0,0.5312386239994995,0.3232620935905345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
10.0,0.8507692735001141,0.0,0.39048308,0.0,0.5152034341386728,0.33556583936144135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
11.0,0.8588841076002471,0.0,0.383414637,0.0,0.5058773293875695,0.35300677821267773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
12.0,0.8701652183371611,0.001713511,0.370354595,0.0003766824280479818,0.48864590801997704,0.3811426278891361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
13.0,0.8873338658493106,0.022835818,0.353402923,0.005020015261472969,0.4662798694484917,0.41603398113934603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
14.0,0.9071214232050357,0.07177203,0.351978638,0.01577770001262472,0.46440066760652665,0.4269430555858844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
15.0,0.9358070396982502,0.156272327,0.35474052,0.03435346465302422,0.46804469513029484,0.43340887991493116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
16.0,0.9612262510925412,0.254172169,0.355558635,0.055874861475147794,0.4691241161836229,0.43622727343377066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
17.0,0.9760051735076591,0.326898601,0.364141626,0.07186236840625383,0.48044851579238773,0.4236942893090176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
18.0,0.9804174893402825,0.355445266,0.364137457,0.07813780351281126,0.4804430152131644,0.42183667061430674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
19.0,0.9750261422109637,0.337477858,0.344982956,0.07418801452915799,0.4551705637297029,0.4456675639521029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
20.0,0.9625279181006176,0.277657425,0.306721484,0.06103764318673788,0.4046883718518866,0.4968019030619931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
21.0,0.9547334938794306,0.188480083,0.265579304,0.041433720182202004,0.35040537340813477,0.5628944002890939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
22.0,0.9590301064224136,0.098816494,0.246162472,0.021722905129356526,0.32478680236404833,0.6125203989290087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
23.0,0.9907974459177648,0.032117527,0.237900573,0.007060420419394222,0.31388605158809446,0.6698509739102761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
24.0,1.0242981159247575,0.002538671,0.229780602,0.0005580779792455363,0.3031725606365623,0.7205674773089497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
25.0,1.0374215849654975,0.0,0.220649176,0.0,0.29112455580679303,0.7462970291587046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
26.0,1.0358128590733873,0.0,0.211841671,0.0,0.27950393239285787,0.7563089266805295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
27.0,1.0288239102145107,0.0,0.207879237,0.0,0.27427589638077804,0.7545480138337327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
28.0,1.0030397872914412,0.0,0.203906823,0.0,0.269034692755206,0.7340050945362352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
29.0,0.9681773737990412,0.0,0.201541219,0.0,0.2659135144838909,0.7022638593151503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
30.0,0.9301553591673162,0.0,0.201282033,0.0,0.2655715444367363,0.6645838147305798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
31.0,0.9052857393987411,0.0,0.200577512,0.0,0.2646419993239934,0.6406437400747477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
32.0,0.8833954903375748,0.0,0.198750371,0.0,0.2622312692153916,0.6211642211221833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
33.0,0.8748245165764875,0.0,0.194935883,0.0,0.2571984331778333,0.6176260833986543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
34.0,0.8725949954190043,0.0,0.18841669,0.0,0.2485970089588561,0.6239979864601481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
35.0,0.8826723427774739,0.0,0.182074203,0.0,0.24022873066270078,0.6424436121147731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
36.0,0.9052746142362642,0.001415965,0.177347563,0.000311272664272923,0.2339924011399537,0.6709709404320374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
37.0,0.9359138426579239,0.017568687,0.170622935,0.003862137842578783,0.22511992595125904,0.7069317788640861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
38.0,0.9678614135851162,0.062129364,0.169864624,0.013657945402507992,0.22411941030447313,0.7300840578781351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
39.0,0.9907507194354216,0.14318285,0.164084492,0.03147599495587129,0.2164931032794035,0.7427816212001467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
40.0,1.0022565622540849,0.234548752,0.147893711,0.05156103077189696,0.19513098440708984,0.755564547075098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
41.0,0.9992037640744335,0.296758301,0.14401171,0.06523660330401954,0.1900090717072367,0.7439580890631773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
42.0,0.9871639044575523,0.320494619,0.156967557,0.07045457616626495,0.20710301817624946,0.709606310115038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
43.0,0.969151954430791,0.304419603,0.172000664,0.06692079315711581,0.22693770179986286,0.6752934594738124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
44.0,0.9508373941850924,0.251614996,0.17535338,0.055312716187152125,0.23136127579157503,0.6641634022063653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
45.0,0.9368394729747449,0.172985408,0.166654961,0.038027513977039414,0.21988458046235082,0.6789273785353546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
46.0,0.9431653497509264,0.091169057,0.179700033,0.02004176322976908,0.2370962504097049,0.6860273361114524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
47.0,0.9829852210366447,0.029465672,0.215774883,0.006477461115233828,0.28469341289376826,0.6918143470276426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
48.0,1.0274532663991371,0.002473826,0.243586308,0.0005438230535130656,0.3213878111972495,0.7055216321483745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02259
